Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
desc_small_plant_b,,Modest but definitely alive. Easy to forget watering.,控えめだけど確かに生きている。水を忘れがち。,低调却确实活着，容易忘记浇水。,低調卻確實活著，容易忘記澆水。,Modest but definitely alive. Easy to forget watering.,Modest but definitely alive. Easy to forget watering.,Modest but definitely alive. Easy to forget watering.,Modest but definitely alive. Easy to forget watering.,Modesta pero claramente viva. Fácil olvidar regarla.,Modest but definitely alive. Easy to forget watering.,"Скромная, но точно живая. Легко забыть полить."
desc_small_plant_c,,Just placing it softens the air. Growth is slow.,置くだけで空気がやわらぐ。成長はゆっくり。,放着就让空气变柔和，生长很慢。,放著就讓空氣變柔和，生長很慢。,Just placing it softens the air. Growth is slow.,Just placing it softens the air. Growth is slow.,Just placing it softens the air. Growth is slow.,Just placing it softens the air. Growth is slow.,"Con solo ponerla, el aire se suaviza. El crecimiento es lento.",Just placing it softens the air. Growth is slow.,Поставишь — и воздух смягчается. Рост медленный.
desc_small_plant_d,,Quietly spreads its leaves. Works well with rooftop time.,静かに葉を広げる。屋上の時間と相性がいい。,安静地展开叶子，和屋顶时间很合。,安靜地展開葉子，和屋頂時間很合。,Quietly spreads its leaves. Works well with rooftop time.,Quietly spreads its leaves. Works well with rooftop time.,Quietly spreads its leaves. Works well with rooftop time.,Quietly spreads its leaves. Works well with rooftop time.,Extiende sus hojas en silencio. Bien con el tiempo de la azotea.,Quietly spreads its leaves. Works well with rooftop time.,Тихо распускает листья. Хорошо сочетается с временем на крыше.
desc_tall_plant_a,,With its height it talks to the wind. Swaying is the job.,背が高い分、風と会話している。揺れるのが仕事。,因为高而和风对话，摇动就是工作。,因為高而和風對話，搖動就是工作。,With its height it talks to the wind. Swaying is the job.,With its height it talks to the wind. Swaying is the job.,With its height it talks to the wind. Swaying is the job.,With its height it talks to the wind. Swaying is the job.,Por su altura conversa con el viento. Balancearse es su trabajo.,With its height it talks to the wind. Swaying is the job.,Из-за высоты она разговаривает с ветром. Качаться — её работа.
desc_tall_plant_b,,Green that grows closer to the sky. Honest about sunlight.,空に近い場所で育つ緑。日差しに正直。,靠近天空生长的绿意，对日照很诚实。,靠近天空生長的綠意，對日照很誠實。,Green that grows closer to the sky. Honest about sunlight.,Green that grows closer to the sky. Honest about sunlight.,Green that grows closer to the sky. Honest about sunlight.,Green that grows closer to the sky. Honest about sunlight.,Verde que crece más cerca del cielo. Sincera con la luz solar.,Green that grows closer to the sky. Honest about sunlight.,"Зелень, растущая ближе к небу. Честна к солнечному свету."
desc_tall_plant_c,,Its presence changes the view. Even its shadow is impressive.,存在感で景色を変える。影も立派。,存在感改变景色，影子也很气派。,存在感改變景色，影子也很氣派。,Its presence changes the view. Even its shadow is impressive.,Its presence changes the view. Even its shadow is impressive.,Its presence changes the view. Even its shadow is impressive.,Its presence changes the view. Even its shadow is impressive.,Su presencia cambia la vista. Incluso su sombra es impresionante.,Its presence changes the view. Even its shadow is impressive.,Её присутствие меняет вид. Даже тень впечатляет.
desc_houseplant_a,,Green brought from indoors. It has adapted to the environment.,室内から連れてこられた緑。環境にはもう慣れた。,从室内带来的绿意，已适应环境。,從室內帶來的綠意，已適應環境。,Green brought from indoors. It has adapted to the environment.,Green brought from indoors. It has adapted to the environment.,Green brought from indoors. It has adapted to the environment.,Green brought from indoors. It has adapted to the environment.,Verde traído del interior. Ya se adaptó al entorno.,Green brought from indoors. It has adapted to the environment.,"Зелень, принесённая из дома. Уже привыкла к среде."
desc_houseplant_b,,Sensitive to water and light. Caring time comes with it.,水と光に敏感。世話する時間も含めて一緒。,对水和光很敏感，照料时间也一起。,對水和光很敏感，照料時間也一起。,Sensitive to water and light. Caring time comes with it.,Sensitive to water and light. Caring time comes with it.,Sensitive to water and light. Caring time comes with it.,Sensitive to water and light. Caring time comes with it.,Sensible al agua y a la luz. El tiempo de cuidado viene con ella.,Sensitive to water and light. Caring time comes with it.,Чувствительна к воде и свету. Время ухода идёт в комплекте.
desc_houseplant_c,,Just placing it adds a lived-in feel. Not much of a conversation partner.,置くだけで生活感が出る。話し相手にはならない。,一放就有生活感，不能当聊天对象。,一放就有生活感，不能當聊天對象。,Just placing it adds a lived-in feel. Not much of a conversation partner.,Just placing it adds a lived-in feel. Not much of a conversation partner.,Just placing it adds a lived-in feel. Not much of a conversation partner.,Just placing it adds a lived-in feel. Not much of a conversation partner.,Con solo ponerla da sensación de vida. No es gran compañera de conversación.,Just placing it adds a lived-in feel. Not much of a conversation partner.,Просто поставишь — и появляется ощущение быта. Не лучший собеседник.
desc_bonsai_a,,Time packed into a small pot. You keep staring.,小さな鉢に詰め込まれた時間。じっと見てしまう。,小盆里塞满时间，忍不住盯着看。,小盆裡塞滿時間，忍不住盯著看。,Time packed into a small pot. You keep staring.,Time packed into a small pot. You keep staring.,Time packed into a small pot. You keep staring.,Time packed into a small pot. You keep staring.,Tiempo metido en una maceta pequeña. No puedes dejar de mirar.,Time packed into a small pot. You keep staring.,"Время, упакованное в маленький горшок. Невозможно отвести взгляд."
